,Time,262800 __DutyCycle_1,277400 __DutyCycle_1,292000 __DutyCycle_1,262800 __DutyCycle_2,277400 __DutyCycle_2,292000 __DutyCycle_2,262800 __DutyCycle_3,277400 __DutyCycle_3,292000 __DutyCycle_3,262800 __DutyCycle_4,277400 __DutyCycle_4,292000 __DutyCycle_4,262800 __DutyCycle_5,277400 __DutyCycle_5,292000 __DutyCycle_5
65,49037.07252978519,0.9982362114174217,1.0,1.0,0.7097999460534692,0.7778106186022554,0.9995712484965623,0.7097999460534692,0.7097999460534692,0.7097999460534692,0.5411820489602828,0.5411820489602828,0.5411820489602828,0.7097999460534692,0.7097999460534692,0.7097999460534692
66,53940.77978276371,0.9997837180246549,1.0,1.0,0.807313912861477,0.8649518273518726,0.9999670795526567,0.807313912861477,0.807313912861477,0.807313912861477,0.6454778504187726,0.6454778504187726,0.6454778504187726,0.807313912861477,0.807313912861477,0.807313912861477
67,59334.85776104009,0.9999867592661552,1.0,1.0,0.8882787397535892,0.9303885827617193,0.9999989191961476,0.8882787397535892,0.8882787397535892,0.8882787397535892,0.7484783747307,0.7484783747307,0.7484783747307,0.8882787397535892,0.8882787397535892,0.8882787397535892
68,65268.3435371441,0.9999996784378333,1.0,1.0,0.9459160024520042,0.971185723902368,0.999999988547057,0.9459160024520042,0.9459160024520042,0.9459160024520042,0.840718342951432,0.840718342951432,0.840718342951432,0.9459160024520042,0.9459160024520042,0.9459160024520042
69,71795.17789085851,0.999999997718767,1.0,1.0,0.9794072402811393,0.9910928684529664,0.9999999999730587,0.9794072402811393,0.9794072402811393,0.9794072402811393,0.9132873151380854,0.9132873151380854,0.9132873151380854,0.9794072402811393,0.9794072402811393,0.9794072402811393
70,78974.69567994437,0.9999999999968543,1.0,1.0,0.9943042086880052,0.998133185781104,0.9999999999999915,0.9943042086880052,0.9943042086880052,0.9943042086880052,0.9613999395303592,0.9613999395303592,0.9613999395303592,0.9943042086880052,0.9943042086880052,0.9943042086880052
71,86872.16524793881,0.9999999999999996,1.0,1.0,0.9989704617993672,0.9997667425281507,1.0,0.9989704617993672,0.9989704617993672,0.9989704617993672,0.9868553626713036,0.9868553626713036,0.9868553626713036,0.9989704617993672,0.9989704617993672,0.9989704617993672
72,95559.3817727327,1.0,1.0,1.0,0.9998943603091243,0.9999853583798397,1.0,0.9998943603091243,0.9998943603091243,0.9998943603091243,0.9968663217929712,0.9968663217929712,0.9968663217929712,0.9998943603091243,0.9998943603091243,0.9998943603091243
73,105115.31995000597,1.0,1.0,1.0,0.9999948983119564,0.9999996323799921,1.0,0.9999948983119564,0.9999948983119564,0.9999948983119564,0.9995352189605753,0.9995352189605753,0.9995352189605753,0.9999948983119564,0.9999948983119564,0.9999948983119564
74,115626.85194500658,1.0,1.0,1.0,0.9999999096418772,0.9999999972738719,1.0,0.9999999096418772,0.9999999096418772,0.9999999096418772,0.9999633471605781,0.9999633471605781,0.9999633471605781,0.9999999096418772,0.9999999096418772,0.9999999096418772
