Nozzle	RPM	PRT	Q	EtaT
0.6	10842.1	1.264646439	0.880432	0.846270703
0.6	10842.1	1.314285695	0.948872	0.820099558
0.6	10842.1	1.380241977	1.025136	0.787553758
0.6	10842.1	1.468401074	1.108824	0.750198853
0.6	10842.1	1.587085962	1.199	0.70979774
0.6	10842.1	1.748273662	1.293992	0.668124343
0.6	10842.1	1.969467004	1.391168	0.626690188
0.6	10842.1	2.276712819	1.486584	0.586505165
0.6	10842.1	2.709411469	1.574696	0.54791105
0.6	10842.1	3.328161706	1.648152	0.510467945
0.6	10842.1	4.227588332	1.697968	0.472935538
0.6	10842.1	5.557476205	1.714736	0.433481473
0.6	10842.1	7.557809228	1.69252	0.390393568
0.6	10842.1	10.61703371	1.640224	0.343601263
0.6	10842.1	15.36937934	1.611544	0.297481483
0.6	10842.1	16	1.611528	0.29314094
0.6	12684.2	1.051024788	8.01E-03	0.061025
0.6	12684.2	1.068175993	1.98E-01	0.061025
0.6	12684.2	1.085466008	3.26E-01	0.300370033
0.6	12684.2	1.102892735	0.422736	0.541081063
0.6	12684.2	1.120460356	0.500096	0.679918888
0.6	12684.2	1.138166789	0.564752	0.763495003
0.6	12684.2	1.156009882	0.620432	0.814875913
0.6	12684.2	1.17399392	0.669456	0.846491203
0.6	12684.2	1.192116769	0.713352	0.865485073
0.6	12684.2	1.21037843	0.753152	0.876177118
0.6	12684.2	1.228776684	0.789624	0.881285
0.6	12684.2	1.252904126	0.832944	0.88240514
0.6	12684.2	1.284620495	0.883672	0.878088853
0.6	12684.2	1.326445138	0.942192	0.867214895
0.6	12684.2	1.381816707	1.008656	0.849261785
0.6	12684.2	1.455492648	1.082928	0.824469868
0.6	12684.2	1.554133729	1.164448	0.79372445
0.6	12684.2	1.68720096	1.252072	0.758437835
0.6	12684.2	1.868358201	1.343888	0.720273695
0.6	12684.2	2.117671069	1.436896	0.68077112
0.6	12684.2	2.465113525	1.526728	0.641031508
0.6	12684.2	2.956226319	1.607344	0.601446245
0.6	12684.2	3.661321518	1.67092	0.56152031
0.6	12684.2	4.690577019	1.708256	0.519864553
0.6	12684.2	6.218968614	1.710632	0.474576058
0.6	12684.2	8.52756804	1.675464	0.424306468
0.6	12684.2	12.07242821	1.622496	0.370433908
0.6	12684.2	16	1.611856	0.33189161
0.6	14526.3	1.067485709	8.01E-03	0.061025
0.6	14526.3	1.099830418	2.88E-01	0.066760205
0.6	14526.3	1.132657862	0.45852	0.502067998
0.6	14526.3	1.16596804	0.580288	0.698774945
0.6	14526.3	1.199760953	0.675144	0.79618082
0.6	14526.3	1.2340366	0.753088	0.845993975
0.6	14526.3	1.268794982	0.819424	0.87081566
0.6	14526.3	1.304033815	0.87728	0.8816819
0.6	14526.3	1.339757635	0.928648	0.884432638
0.6	14526.3	1.37596419	0.974864	0.882345605
0.6	14526.3	1.41265348	1.01688	0.877347973
0.6	14526.3	1.461071728	1.066344	0.868364803
0.6	14526.3	1.52523241	1.123568	0.854598988
0.6	14526.3	1.610706186	1.188504	0.835624963
